Job Class,Percentage
Management,6.1,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Managment+jobs
Business and Financial operations,5,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Business+and+Financial+operations+jobs
Computer and Mathematical,2.7,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Computer+and+Mathematical+jobs
Architecture and Engineering,1.7,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Architecture+and+Engineering+jobs
"Life, Physical and Social Science",0.9,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Life,+Physical+and+Social+Science+jobs
Community and Social Service,1.6,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Community+and+Social+Service+jobs
Legal,0.8,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Legal+jobs
"Education, training and library",6.1,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Education,+training+and+library+jobs
"Arts, design, entertainment, sports and media",1.7,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Arts,+design,+entertainment,+sports+and+media+jobs
Healthcare practioners and technical,5.5,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Healthcare+practioners+and+technical+jobs 
Healthcare support,2.8,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Healthcare+support+jobs
Protective service,2.3,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Protective+service+jobs
Food preparation and serving,8.3,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Food+preparation+and+service+jobs
Building and grounds cleaning and maintenance,3.7,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Building+and+grounds+cleaning+and+maintenance+jobs
Personal care and service,4,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Personal+care+and+service+jobs
Sales,10.2,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Sales+jobs
Office and administrative support,15.1,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Office+and+administrative+support+jobs
"Farming, fishing and forestry",0.6,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Farming,+fishing+and+forestry+jobs
Construction and extraction,4.3,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Construction+and+extraction+jobs
"Installation, maintenance and repair",3.8,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Installation,+maintenance+and+repair+jobs
Production,6.1,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Production+jobs
Transportation and material moving,6.5,https://www.google.com/search?client=ubuntu&channel=fs&q=google&ie=utf-8&oe=utf-8#channel=fs&q=Transportation+and+material+moving+jobs
Total,99.8
